role,skills
Data Scientist,python machine learning statistics pandas numpy data analysis
ML Engineer,python deep learning tensorflow pytorch mlops deployment
Data Analyst,sql excel power bi data visualization statistics python
AI Engineer,python deep learning nlp transformers computer vision
NLP Engineer,python nlp transformers bert text processing
Computer Vision Engineer,python opencv deep learning cnn image processing
Backend Developer,python django flask api database
Full Stack Developer,html css javascript react node python
Software Engineer,java python oops data structures algorithms
Python Developer,python flask django automation scripting
Cloud Engineer,aws azure docker kubernetes devops cloud computing
DevOps Engineer,docker kubernetes ci cd linux automation
MLOps Engineer,mlops deployment docker kubernetes python
Business Analyst,excel sql analytics reporting business intelligence
QA Engineer,testing automation selenium python
Cybersecurity Analyst,network security penetration testing cybersecurity linux
Automation Engineer,python automation scripting testing
